Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Industry,MarketCap,Revenue,Year,CompanyID,ESG_Overall,GrowthRate
2019-01-02 00:00:00-05:00,36.81855647461749,37.75988084293644,36.66166847537554,37.53881072998047,148158800,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,50.52390415997145,
2019-01-03 00:00:00-05:00,34.225170383128884,34.63878328935381,33.754509922344255,33.79967498779297,365248800,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,44.657400204701666,
2019-01-04 00:00:00-05:00,34.35591215580835,35.311498641777554,34.18238645663675,35.24256134033203,234428400,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,79.8709142575131,
2019-01-07 00:00:00-05:00,35.347155776449505,35.37805895693896,34.68157308595714,35.164119720458984,219111200,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,77.23923485316493,
2019-01-08 00:00:00-05:00,35.55158069885025,36.08880268918446,35.30436616393607,35.83445358276367,164101200,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,64.41904034216027,
2019-01-09 00:00:00-05:00,35.96281471962946,36.73298936707537,35.56822249255178,36.44298553466797,180396400,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,47.6849311589659,
2019-01-10 00:00:00-05:00,36.25043504413987,36.59986575735891,35.86059444514393,36.55945587158203,143122800,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,59.7984370959621,
2019-01-11 00:00:00-05:00,36.34076992153444,36.535688433017384,36.01510776642368,36.20051956176758,108092800,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,74.54955562548994,
2019-01-14 00:00:00-05:00,35.85822297159505,35.95805981203487,35.470758098093015,35.65616989135742,129756800,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,60.79461589311329,
2019-01-15 00:00:00-05:00,35.72035787905168,36.46200517390876,35.66806186445189,36.38594055175781,114843600,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,45.11072786421155,
2019-01-16 00:00:00-05:00,36.388315253988246,37.053897907115854,36.369298192226466,36.83045196533203,122278800,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,40.74160527768829,
2019-01-17 00:00:00-05:00,36.65454885295936,37.477019589891874,36.4311028990532,37.04914474487305,119284800,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,63.08967237658618,
2019-01-18 00:00:00-05:00,37.43897184013087,37.52930194874502,37.07765503280678,37.2773323059082,135004000,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,67.72166123196664,
2019-01-22 00:00:00-05:00,37.17988043233495,37.2559450474709,36.278965777015756,36.440608978271484,121576000,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,61.336175254298354,
2019-01-23 00:00:00-05:00,36.64265395320385,36.87798596834581,36.060270599876375,36.587982177734375,92522400,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,67.14764092753752,
2019-01-24 00:00:00-05:00,36.63315398920607,36.72110472601421,36.06978759028488,36.2979850769043,101766000,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,79.48811990993076,
2019-01-25 00:00:00-05:00,36.95881226724857,37.5887401908888,36.68307394200685,37.50078582763672,134142000,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,79.50830137774992,
2019-01-28 00:00:00-05:00,37.032495190246195,37.16085942867184,36.526180061507155,37.15372848510742,104768400,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,48.88449491570957,
2019-01-29 00:00:00-05:00,37.14185313626924,37.58874507388774,36.63315846080026,36.76865005493164,166348800,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,61.99722635204662,
2019-01-30 00:00:00-05:00,38.80580381546367,39.49515508169959,38.08792514275934,39.281219482421875,244439200,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,67.30371524280375,
2019-01-31 00:00:00-05:00,39.485646711738674,40.17262217665651,39.117198859839675,39.564090728759766,162958400,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,46.911165274531406,
2019-02-01 00:00:00-05:00,39.68769901522233,40.16786619757071,39.4428566249422,39.583106994628906,130672400,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,67.9979000922254,
2019-02-04 00:00:00-05:00,39.79466892346387,40.80492720687015,39.76376574470043,40.70746612548828,125982000,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,74.1214694116895,
2019-02-05 00:00:00-05:00,41.090181061348616,41.61789280375876,40.96895135781865,41.403953552246094,144406400,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,69.29205634096702,
2019-02-06 00:00:00-05:00,41.51566269527601,41.73435704669742,41.08779158917797,41.41820526123047,112958400,0.0,0.0,AAPL,Consumer Electronics,3645326229504,416161005568,2019,AAPL,57.25130542649823,
